timestamp,ekf_x,ekf_y,ekf_yaw,gt_x,gt_y,gt_yaw,gt_vx,gt_vy,gnss_x,gnss_y,imu_yaw_rate,imu_accel_x,odom_velocity,gnss_available,lead_x,lead_y
1773666196.576740,0.0089,0.0000,0.0002,10.0042,-0.0092,-0.0011,-0.1109,0.0001,0.0000,0.0000,0.005964,0.137116,0.1109,True,62.0400,0.0000
1773666196.679814,0.7179,-0.1242,0.0009,10.0436,-0.0939,0.0044,-0.0966,-0.0004,9.6318,-0.5403,0.005639,0.217686,0.0966,True,62.6400,0.0000
1773666196.776625,0.7304,-0.1278,0.0012,9.9859,-0.0691,-0.0009,-0.1052,0.0001,9.6318,-0.5403,0.002724,0.335942,0.1052,True,63.2400,0.0000
1773666196.876752,0.6406,-0.0380,0.0015,10.0155,0.0432,-0.0066,-0.0744,0.0005,7.0210,0.1069,0.004444,0.455204,0.0744,True,63.8400,0.0000
1773666196.976676,0.6475,-0.0357,0.0019,10.0369,-0.0858,0.0039,0.0587,0.0002,7.0210,0.1069,0.006460,0.681803,0.0587,True,64.4400,0.0000
1773666197.077172,1.9723,0.2989,0.0027,10.1199,-0.0500,0.0024,0.1649,0.0004,11.2283,0.6651,0.000888,0.728468,0.1649,True,65.0400,0.0000
1773666197.188814,1.9887,0.3243,0.0026,10.0450,-0.0939,-0.0000,0.2171,-0.0000,11.2283,0.6651,0.000794,0.977867,0.2171,True,65.6400,0.0000
1773666197.284374,2.5211,-0.4839,-0.0018,10.0535,0.1507,-0.0063,0.2661,-0.0017,10.0361,-1.3115,0.003921,1.064154,0.2661,True,65.9400,0.0000
1773666197.376471,2.5596,-0.5416,-0.0018,10.0951,0.0095,0.0081,0.6114,0.0049,10.0361,-1.3115,0.003972,1.377328,0.6114,True,66.7800,0.0000
1773666197.476641,2.4938,0.0824,0.0043,10.1473,-0.0197,-0.0031,0.3362,-0.0010,8.8706,0.6809,0.010620,1.394658,0.3362,True,67.3200,0.0000
1773666197.576488,2.5497,0.0987,0.0046,10.2184,-0.0326,-0.0093,0.7052,-0.0065,8.8706,0.6809,-0.006415,1.660260,0.7052,True,67.9200,0.0000
1773666197.676700,3.0330,-1.1822,-0.0168,10.3721,-0.0038,-0.0025,0.8089,-0.0020,10.3113,-2.2011,-0.001889,1.742451,0.8089,True,68.5200,0.0000
1773666197.778761,3.1365,-1.3153,-0.0168,10.4374,0.0459,-0.0011,1.0561,-0.0011,10.3113,-2.2011,-0.002317,1.849035,1.0561,True,69.1200,0.0000
