timestamp,event,detail
1773224647.756369,odom_update,v=0.033
1773224647.757239,imu_predict,yr=-0.0081 ax=0.0829
1773224647.775606,imu_predict,yr=0.0065 ax=0.0149
1773224647.796181,odom_update,v=0.180
1773224647.797117,imu_predict,yr=-0.0033 ax=0.1162
1773224647.817601,imu_predict,yr=-0.0010 ax=0.1955
1773224647.836110,imu_predict,yr=0.0001 ax=0.1538
1773224647.847074,odom_update,v=0.089
1773224647.855399,imu_predict,yr=0.0062 ax=0.1044
1773224647.875991,imu_predict,yr=-0.0036 ax=0.2381
1773224647.896050,gnss_update,x=0.35 y=1.53
1773224647.897293,imu_predict,yr=0.0015 ax=0.2005
1773224647.899583,odom_update,v=0.193
1773224647.915513,imu_predict,yr=-0.0043 ax=0.1163
1773224647.935989,imu_predict,yr=0.0055 ax=0.1645
1773224647.953698,odom_update,v=0.246
1773224647.955560,imu_predict,yr=-0.0171 ax=0.0878
1773224647.975364,imu_predict,yr=0.0031 ax=0.2354
1773224647.995583,imu_predict,yr=0.0007 ax=0.2219
1773224648.010165,odom_update,v=0.019
1773224648.025893,imu_predict,yr=0.0013 ax=0.2211
1773224648.036571,imu_predict,yr=-0.0008 ax=0.2056
1773224648.047308,odom_update,v=0.092
1773224648.063188,imu_predict,yr=0.0043 ax=0.2518
1773224648.081163,imu_predict,yr=0.0043 ax=0.2518
1773224648.096661,imu_predict,yr=-0.0100 ax=0.1557
1773224648.120206,gnss_update,x=0.50 y=2.78
1773224648.121378,imu_predict,yr=-0.0016 ax=0.2432
1773224648.123895,odom_update,v=0.103
1773224648.140699,imu_predict,yr=0.0003 ax=0.2299
1773224648.156176,imu_predict,yr=0.0033 ax=0.3349
1773224648.159616,odom_update,v=0.029
1773224648.175937,imu_predict,yr=0.0089 ax=0.2895
1773224648.204102,imu_predict,yr=-0.0060 ax=0.2685
1773224648.209455,odom_update,v=0.011
1773224648.215672,imu_predict,yr=-0.0060 ax=0.2685
1773224648.239420,imu_predict,yr=0.0008 ax=0.3590
1773224648.252568,odom_update,v=0.070
1773224648.258420,imu_predict,yr=0.0026 ax=0.3016
1773224648.275632,imu_predict,yr=0.0026 ax=0.3683
1773224648.295741,imu_predict,yr=-0.0013 ax=0.3407
1773224648.311545,gnss_update,x=-2.54 y=1.09
1773224648.314022,odom_update,v=0.077
1773224648.327815,imu_predict,yr=-0.0013 ax=0.3407
1773224648.344221,imu_predict,yr=-0.0044 ax=0.2494
1773224648.360052,imu_predict,yr=-0.0044 ax=0.2494
1773224648.375869,imu_predict,yr=-0.0042 ax=0.4179
1773224648.378524,odom_update,v=0.200
1773224648.410377,imu_predict,yr=-0.0078 ax=0.3483
1773224648.423281,odom_update,v=0.101
1773224648.424458,imu_predict,yr=-0.0039 ax=0.4508
1773224648.439160,imu_predict,yr=0.0018 ax=0.4363
1773224648.459719,imu_predict,yr=0.0060 ax=0.3692
1773224648.463253,odom_update,v=0.200
1773224648.475721,imu_predict,yr=-0.0002 ax=0.3461
1773224648.495781,imu_predict,yr=-0.0036 ax=0.4391
1773224648.502485,gnss_update,x=1.59 y=1.26
1773224648.506160,odom_update,v=0.289
1773224648.516954,imu_predict,yr=0.0018 ax=0.4373
1773224648.537351,imu_predict,yr=0.0054 ax=0.3417
1773224648.555838,imu_predict,yr=0.0009 ax=0.3832
1773224648.573767,odom_update,v=0.153
1773224648.575555,imu_predict,yr=0.0011 ax=0.2984
1773224648.595410,imu_predict,yr=0.0068 ax=0.5051
1773224648.599793,odom_update,v=0.082
1773224648.616762,imu_predict,yr=0.0036 ax=0.5334
1773224648.635630,imu_predict,yr=0.0008 ax=0.5099
1773224648.652848,odom_update,v=0.153
1773224648.661770,imu_predict,yr=0.0012 ax=0.5456
1773224648.678051,imu_predict,yr=-0.0037 ax=0.5160
1773224648.695655,imu_predict,yr=-0.0082 ax=0.6023
1773224648.711390,gnss_update,x=-0.15 y=2.09
1773224648.712739,odom_update,v=0.373
1773224648.717849,imu_predict,yr=-0.0023 ax=0.5205
1773224648.736428,imu_predict,yr=0.0006 ax=0.6002
1773224648.752103,odom_update,v=0.268
1773224648.758083,imu_predict,yr=-0.0039 ax=0.4801
1773224648.775525,imu_predict,yr=0.0028 ax=0.5836
1773224648.795285,imu_predict,yr=-0.0015 ax=0.4887
1773224648.801421,odom_update,v=0.150
1773224648.816791,imu_predict,yr=-0.0021 ax=0.5628
1773224648.835949,imu_predict,yr=0.0021 ax=0.6386
1773224648.849176,odom_update,v=0.375
1773224648.855505,imu_predict,yr=0.0052 ax=0.5548
1773224648.875622,imu_predict,yr=-0.0018 ax=0.5144
1773224648.895722,imu_predict,yr=0.0007 ax=0.5303
1773224648.897924,gnss_update,x=-0.95 y=2.02
1773224648.903665,odom_update,v=0.393
1773224648.915565,imu_predict,yr=0.0071 ax=0.6197
1773224648.935506,imu_predict,yr=0.0041 ax=0.5440
1773224648.948457,odom_update,v=0.357
1773224648.956478,imu_predict,yr=-0.0015 ax=0.6285
1773224648.975889,imu_predict,yr=-0.0039 ax=0.6688
1773224648.995559,imu_predict,yr=-0.0004 ax=0.5538
1773224648.999112,odom_update,v=0.374
1773224649.015521,imu_predict,yr=-0.0038 ax=0.5989
1773224649.035442,imu_predict,yr=-0.0069 ax=0.6627
1773224649.046307,odom_update,v=0.408
1773224649.055460,imu_predict,yr=0.0073 ax=0.5969
1773224649.075495,imu_predict,yr=0.0026 ax=0.6814
1773224649.095769,imu_predict,yr=0.0040 ax=0.6863
1773224649.103172,gnss_update,x=1.74 y=0.75
1773224649.104416,odom_update,v=0.502
1773224649.115547,imu_predict,yr=0.0017 ax=0.5719
1773224649.144975,imu_predict,yr=0.0018 ax=0.5948
1773224649.148178,odom_update,v=0.424
1773224649.160820,imu_predict,yr=-0.0073 ax=0.6340
1773224649.177239,imu_predict,yr=-0.0023 ax=0.6472
1773224649.195746,imu_predict,yr=0.0033 ax=0.7658
1773224649.210182,odom_update,v=0.366
1773224649.225885,imu_predict,yr=0.0126 ax=0.7221
1773224649.240780,imu_predict,yr=0.0041 ax=0.7206
1773224649.257039,imu_predict,yr=-0.0020 ax=0.7494
1773224649.262030,odom_update,v=0.522
1773224649.276663,imu_predict,yr=-0.0079 ax=0.7577
1773224649.295984,imu_predict,yr=0.0028 ax=0.7065
1773224649.308527,gnss_update,x=0.78 y=-0.71
1773224649.311439,odom_update,v=0.619
1773224649.315608,imu_predict,yr=-0.0010 ax=0.7850
1773224649.335352,imu_predict,yr=-0.0005 ax=0.7908
1773224649.354699,odom_update,v=0.488
1773224649.355741,imu_predict,yr=-0.0017 ax=0.7756
1773224649.375739,imu_predict,yr=0.0016 ax=0.8426
1773224649.395511,imu_predict,yr=0.0020 ax=0.7963
1773224649.401219,odom_update,v=0.854
1773224649.415590,imu_predict,yr=0.0019 ax=0.9005
1773224649.435697,imu_predict,yr=-0.0010 ax=0.7838
1773224649.446297,odom_update,v=0.528
1773224649.455391,imu_predict,yr=-0.0041 ax=0.8338
1773224649.475501,imu_predict,yr=0.0015 ax=0.8339
1773224649.496513,imu_predict,yr=0.0051 ax=0.8388
1773224649.500823,gnss_update,x=-0.49 y=0.83
1773224649.502188,odom_update,v=0.597
1773224649.516016,imu_predict,yr=0.0001 ax=1.0176
1773224649.539186,imu_predict,yr=0.0041 ax=0.9489
1773224649.546932,odom_update,v=0.910
1773224649.555362,imu_predict,yr=0.0041 ax=1.0190
1773224649.575913,imu_predict,yr=-0.0076 ax=0.9644
1773224649.597914,odom_update,v=0.824
1773224649.598705,imu_predict,yr=0.0024 ax=0.9032
1773224649.615576,imu_predict,yr=0.0042 ax=0.9881
1773224649.635612,imu_predict,yr=0.0016 ax=0.9511
1773224649.646127,odom_update,v=0.814
1773224649.655915,imu_predict,yr=0.0045 ax=0.9942
1773224649.675695,imu_predict,yr=0.0115 ax=1.0382
1773224649.696235,gnss_update,x=1.43 y=1.17
1773224649.697476,imu_predict,yr=0.0083 ax=1.0646
1773224649.700477,odom_update,v=0.776
1773224649.719183,imu_predict,yr=0.0006 ax=0.9721
1773224649.735610,imu_predict,yr=0.0063 ax=1.0582
1773224649.746542,odom_update,v=0.993
1773224649.755805,imu_predict,yr=0.0082 ax=0.9550
1773224649.775598,imu_predict,yr=-0.0033 ax=1.0138
1773224649.795482,imu_predict,yr=-0.0022 ax=1.0454
1773224649.801466,odom_update,v=0.935
1773224649.815401,imu_predict,yr=0.0034 ax=0.7812
1773224649.835493,imu_predict,yr=-0.0062 ax=0.9592
1773224649.846845,odom_update,v=1.192
1773224649.855304,imu_predict,yr=0.0033 ax=1.0429
1773224649.875406,imu_predict,yr=-0.0004 ax=1.0392
1773224649.895454,imu_predict,yr=-0.0143 ax=1.0917
1773224649.898097,gnss_update,x=0.21 y=4.20
1773224649.900243,odom_update,v=1.223
1773224649.916072,imu_predict,yr=0.0092 ax=1.1201
