timestamp,speed,acceleration,longitudinal_accel,lateral_accel,longitudinal_jerk,lateral_jerk,lead_detected,lead_distance,target_speed
1773224647.937169,0.1934,0.1369,0.0232,0.0000,0.2318,0.0005,True,51.8451,0.6731
1773224648.036853,0.0189,0.2432,0.0593,0.0000,0.3626,0.0000,True,51.8451,0.8531
1773224648.139028,0.1031,0.2505,0.0891,0.0000,0.2917,-0.0003,True,52.2073,0.7630
1773224648.245431,0.0109,0.2542,0.1210,-0.0000,0.2997,-0.0002,True,53.4129,0.7384
1773224648.339132,0.0767,0.3532,0.1403,-0.0001,0.2056,-0.0005,True,53.4129,0.7414
1773224648.435638,0.0767,0.3532,0.1567,-0.0001,0.1697,-0.0004,True,53.4129,0.7414
1773224648.535557,0.2892,0.3852,0.1844,0.0002,0.2778,0.0025,True,54.1330,0.7060
1773224648.636174,0.0825,0.4868,0.2332,0.0001,0.4852,-0.0001,True,55.2001,0.8605
1773224648.736334,0.3729,0.4755,0.2757,-0.0001,0.4235,-0.0023,True,55.5652,0.8491
1773224648.835927,0.1504,0.5771,0.3301,-0.0000,0.5466,0.0006,True,56.0519,0.9480
1773224648.935584,0.3930,0.5766,0.3622,0.0002,0.3220,0.0025,True,56.5603,0.9397
1773224649.036866,0.3737,0.5773,0.4073,-0.0002,0.4451,-0.0041,True,57.3969,1.0209
1773224649.146387,0.5019,0.6760,0.4354,-0.0000,0.2568,0.0015,True,57.5633,1.0655
1773224649.242504,0.3661,0.7016,0.4672,-0.0002,0.3305,-0.0013,True,58.3759,1.1166
1773224649.335831,0.6194,0.8018,0.5143,-0.0003,0.5048,-0.0012,True,58.6785,1.1470
1773224649.435452,0.8543,0.8064,0.5547,-0.0004,0.4059,-0.0009,True,59.4216,1.1968
1773224649.537133,0.5970,0.9037,0.6138,0.0001,0.5816,0.0041,True,59.7477,1.3023
1773224649.635603,0.8240,0.9849,0.6644,0.0002,0.5137,0.0019,True,60.2222,1.3836
1773224649.736963,0.7758,0.9850,0.7235,0.0009,0.5828,0.0069,True,60.9338,1.4856
