timestamp,speed,acceleration,longitudinal_accel,lateral_accel,longitudinal_jerk,lateral_jerk,lead_detected,lead_distance,target_speed
1773666202.876267,8.0506,0.0704,0.2651,0.0144,-0.2868,-0.0470,False,nan,8.0000
1773666202.980543,8.0634,0.1611,0.2559,0.0106,-0.0887,-0.0359,False,nan,8.0000
1773666203.076689,8.1167,0.0443,0.2404,0.0101,-0.1609,-0.0058,False,nan,8.0000
1773666203.179811,8.1786,0.1192,0.2191,0.0094,-0.2064,-0.0065,False,nan,8.0000
1773666203.276312,8.1242,0.0445,0.1841,0.0198,-0.3627,0.1077,False,nan,8.0000
1773666203.376670,7.9974,0.1950,0.1810,0.0296,-0.0313,0.0981,False,nan,8.0000
1773666203.485944,8.1249,0.0452,0.1610,0.0223,-0.1825,-0.0675,False,nan,8.0000
1773666203.576885,8.1913,0.0450,0.1613,0.0222,0.0035,-0.0010,False,nan,8.0000
1773666203.676620,8.2062,0.0435,0.1492,0.0230,-0.1221,0.0082,False,nan,8.0000
1773666203.780302,8.3305,-0.1059,0.1164,0.0078,-0.3158,-0.1465,False,nan,8.0000
1773666203.876261,8.2706,-0.1794,0.0742,0.0167,-0.4398,0.0923,False,nan,8.0000
1773666203.976637,8.0426,-0.0294,0.0709,0.0179,-0.0331,0.0122,False,nan,8.0000
1773666204.076398,8.1367,0.0280,0.0654,0.0212,-0.0555,0.0336,False,nan,8.0000
1773666204.176431,8.0514,0.0288,0.0496,0.0205,-0.1578,-0.0075,False,nan,8.0000
1773666204.276767,8.2615,-0.1209,0.0346,0.0190,-0.1494,-0.0144,False,nan,8.0000
1773666204.377181,8.1989,-0.0970,0.0307,0.0181,-0.0383,-0.0093,False,nan,8.0000
1773666204.476951,8.2700,-0.1023,0.0292,0.0199,-0.0151,0.0174,False,nan,8.0000
1773666204.577123,8.1891,-0.1037,0.0290,0.0150,-0.0022,-0.0483,False,nan,8.0000
1773666204.676851,7.9965,0.0462,0.0187,0.0170,-0.1038,0.0198,False,nan,8.0000
1773666204.777104,8.2125,0.0457,0.0441,0.0125,0.2540,-0.0453,False,nan,8.0000
